,Cargo Name,Cargo ID,Cargo Weight,Transport Distance,Hour,Minutes,Ferry?,Ferry Length,Ferry Cost,Origin City,Origin City ID,Origin Country,Origin Company,Origin Company ID,Destination City,Destination City ID,Destination Country,Destiantion Company,Destination Company ID,Transport Type,Trailer Type,High Value Cargo,Heavy Cargo,Fragile Cargo,ADR Cargo,ADR Class & Type,Special Transport,Price Per KM,Price
0,Pressure Tank,1,12,2383,33,55,Yes,60,300,Aberdeen,0,England,NBFC,,Vienna,,Austria,NS Oil,,Urgent,Flatbeds,Yes,No,No,No,Nil,No,52.73,126556
2,Forklifts,3,11,2139,30,26,Yes,60,300,Aberdeen,0,England,Treeet,,Szczecin,,Poland,Transinet,,Normal,Low bed,Yes,No,No,No,Nil,No,41.15,88920
148,Helicopter- 1808TX,14,3,572,8,8,No,0,0,Aberdeen,0,England,Stokes,,Manchester,,England,LKW,,Normal,Low bed,Yes,No,Yes,No,Nil,No,57.12,33274
289,Fuel Tanker,27,9,595,8,25,No,0,0,Aberdeen,0,England,Stokes,,Sheffield,,England,Transinet,,Urgent,Tank,No,No,No,Yes,Class 3- Flammable Liquids,No,37.18,22723
328,Tractors,41,11,395,5,33,No,0,0,Aberdeen,0,England,Treeet,,Carlisle,,England,Posped,,Very Urgent,Low bed,No,No,No,No,Nil,No,49.9,20309
160,Backhoe Loder,68,8,71,9,41,No,0,0,Aberdeen,0,England,Treeet,,Birmingham,,England,Sand Builders,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,35.75,32412
528,Sodium Hydroxide,78,9,640,9,8,No,0,0,Aberdeen,0,England,NBFC,,Grimsby,,England,WGCC,,Very Urgent,Tank,No,No,No,Yes,Class 8- Corrosive substances,No,18.76,12608
154,Locomotive- Vossloh G6,104,61,639,20,16,Yes,370,995,Aberdeen,0,England,Stokes,,Rotterdam,,Netherlands,Posped,,Urgent,Low bed,Yes,Yes,No,No,Nil,No,49.11,32976
173,Neon,114,10,638,20,12,Yes,370,995,Aberdeen,0,England,NBFC,,Rotterdam,,Netherlands,WGCC,,Very Urgent,Tank,No,No,Yes,Yes,Class 2- Gases,No,46.76,31425
249,Wooden Beams,115,22,833,11,25,No,0,0,Aberdeen,0,England,Treeet,,Cambridge,,England,Euro Acers,,Normal,Curtainsiders,No,No,No,No,Nil,No,29.85,25465
705,Lumber,118,17,239,3,31,No,0,0,Aberdeen,0,England,Treeet,,Edinburgh,,England,Sand Builders,,Normal,Flatbeds,No,No,No,No,Nil,No,20.18,5422
223,Chlorine,129,16,576,8,7,No,0,0,Aberdeen,0,England,NBFC,,Liverpool,,England,NBFC,,Very Urgent,Tank,No,No,Yes,Yes,Class 2- Gases,No,45.9,27040
270,Big-Bags of Seeds,142,19,822,11,47,No,0,0,Aberdeen,0,England,Stokes,,Swansea,,England,Posped,,Normal,Curtainsiders,No,No,No,No,Nil,No,28.58,24092
25,Pressure Tank,1,12,997,15,1,No,0,0,Salzburg,81,Austria,Stein Brunch,,Hamburg,,Germany,LKW,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,53.19,53632
715,Post Packages,2,11,133,2,3,No,0,0,Salzburg,81,Austria,RTLOG,,Linz,,Austria,Posped,,Normal,Curtainsiders,No,No,No,No,Nil,No,32.54,4928
85,Forklifts,3,11,902,13,24,No,0,0,Salzburg,81,Austria,RENAT,,Hamburg,,Germany,Transinet,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,45.08,41259
170,Furniture,9,16,719,10,51,No,0,0,Salzburg,81,Austria,RENAT,,Metz,,France,Posped,,Very Urgent,Curtainsiders,No,No,Yes,No,Nil,No,43.27,31709
13,Logs,13,22,2266,37,27,Yes,60,300,Salzburg,81,Austria,Treeet,,Aberdeen,,England,Treeet,,Normal,Flatbeds,No,No,No,No,Nil,No,28.27,63830
105,Articulated Hauler Volvo A25G,16,25,865,12,45,No,0,0,Salzburg,81,Austria,Sand Builders,,Lodz,,Poland,Posped,,Urgent,Low bed,Yes,Yes,No,No,Nil,No,42.92,37729
620,Articulated Hauler Volvo A25G,16,25,222,3,29,No,0,0,Salzburg,81,Austria,Sand Builders,,Innsbruck,,Austria,Stein Brunch,,Urgent,Low bed,Yes,Yes,No,No,Nil,No,28.97,9251
269,Used Plastics,35,7,1089,15,47,No,0,0,Salzburg,81,Austria,Sell Plan,,Calasis,,France,LKW,,Normal,Container Chassis,No,No,No,No,Nil,No,21.6,24118
534,Excavator Volvo EW240E MH,45,26,275,4,36,No,0,0,Salzburg,81,Austria,Stein Brunch,,klagenfurt,,Austria,Treeet,,Very Urgent,Low bed,Yes,Yes,No,No,Nil,No,42.61,12319
319,Used Packaging,63,20,819,11,49,No,0,0,Salzburg,81,Austria,Sell Plan,,Dijon,,France,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,24.43,20606
130,Backhoe Loder,68,8,872,12,47,No,0,0,Salzburg,81,Austria,Sand Builders,,Dusseldorf,,Germany,Stokes,,Normal,Low bed,Yes,No,No,No,Nil,No,39.37,34933
114,Sodium Hydroxide,78,18,1097,15,57,No,0,0,Salzburg,81,Austria,RTLOG,,Rotterdam,,Netherlands,WGCC,,Normal,Tank,No,No,No,Yes,Class 8- Corrosive substances,No,32.7,36477
120,Non-alcoholic Beer,88,22,1048,16,21,No,0,0,Salzburg,81,Austria,Kolice,,Gdansk,,Poland,LKW,,Urgent,Refrigerated,No,No,No,No,Nil,No,33.63,35846
296,Wooden Beams,115,22,650,9,49,No,0,0,Salzburg,81,Austria,Treeet,,Brno,,Czech Republic,Euro Acers,,Urgent,Curtainsiders,No,No,No,No,Nil,No,33.12,22125
248,Lemonade,135,32,842,12,20,No,0,0,Salzburg,81,Austria,Kolice,,Lyon,,France,Tradeaux,,Normal,Curtainsiders,No,Yes,No,No,Nil,No,29.56,25486
259,Bottled Water,139,21,787,11,41,No,0,0,Salzburg,81,Austria,Kolice,,Duisburg,,Germany,LKW,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,30.66,24888
613,Beverages,148,27,219,3,25,No,0,0,Salzburg,81,Austria,Kolice,,Innsbruck,,Austria,RTLOG,,Very Urgent,Tank,No,Yes,Yes,No,Nil,No,40.92,9561
698,Sand,210,25,257,4,14,No,0,0,Salzburg,81,Austria,Stein Brunch,,Salzburg,,Austria,RTLOG,,Urgent,Bulk Carriers,No,Yes,No,No,Nil,No,20.95,5984
79,Pressure Tank,1,12,803,11,59,No,0,0,Ostarva,70,Czech Republic,ITCC,,Hanover,,Germany,FCP,,Very Urgent,Flatbeds,Yes,No,No,No,Nil,No,52.03,42330
30,Oil,26,24,1074,16,38,No,0,0,Ostarva,70,Czech Republic,Stein Brunch,,Liege,,Belgium,LKW,,Very Urgent,Tank,No,No,No,Yes,Class 3- Flammable Liquids,No,48.48,52664
721,Empty Pallets,53,22,137,2,14,No,0,0,Ostarva,70,Czech Republic,Kaarfor,,Krakow,,Poland,Tradeaux,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,27.88,4419
290,Ventilation Shaft,55,4,627,9,16,No,0,0,Ostarva,70,Czech Republic,transinet,,Leipzig ,,Germany,FCP,,Urgent,Flatbeds,No,No,No,No,Nil,No,35.15,22637
574,Floor Pannels,59,19,447,6,34,No,0,0,Ostarva,70,Czech Republic,ITCC,,Budapest,,Hungary,Tradeaux,,Normal,Low bed,No,No,No,No,Nil,No,23.52,11112
659,Used Packaging,63,20,279,4,10,No,0,0,Ostarva,70,Czech Republic,Kaarfor,,B.Bystrica,,Slovakia,Stokes,,Urgent,Curtainsiders,No,No,No,No,Nil,No,25.61,7745
621,Heavy Metals,102,10,447,6,33,No,0,0,Ostarva,70,Czech Republic,NBFC,,Budapest,,Hungary,Trameri,,Urgent,Tank,No,No,No,Yes,Class 6- Toxic & Infectious substances,No,19.16,9166
242,Rice,109,17,1086,15,29,No,0,0,Ostarva,70,Czech Republic,transinet,,Bern,,Switzerland,Kaarfor,,Normal,Container Chassis,No,No,No,No,Nil,No,23.34,25946
538,Chlorine,129,8,548,8,5,No,0,0,Ostarva,70,Czech Republic,NBFC,,Berlin ,,Germany,NBFC,,Urgent,Tank,No,No,Yes,Yes,Class 2- Gases,No,21.21,12222
